"","length_2d","length_3d","moving_time","stopped_time","moving_distance","stopped_distance","max_speed","ave_speed","uphillnorm","downhillnorm","maxe","mine","sport"
"704",4.37937966783,4.50776166269,1582,58,4472.8557575,34.9059051919,5.66854037878,2.82734245101,6.48493671573e-05,6.37076529468e-05,741,668,"rn"
"705",6.73442355319,6.77787587804,2220,0,6777.87587804,0,4.0086878652,3.05309724236,2.20805832638e-05,2.75747431882e-05,37,-7,"rn"
"722",4.86334311191,5.00692953394,2098,23,5000.95689445,5.97263948801,3.57656893146,2.38367821471,4.61822237978e-05,6.69498311156e-05,454,319,"rn"
"726",10.1281154249,10.2733557564,2982,0,10273.3557564,0,4.59536640159,3.44512265473,4.13443155447e-05,4.3052431939e-05,217.2,146.3,"rn"
"728",1.65055162621,1.65059037966,356,0,1650.57580897,0,5.60315575627,4.63644890161,2.45372512783e-06,1.24200901532e-06,2,0,"rn"
"733",4.55605426647,4.59502681455,1645,0,4595.02681455,0,3.97228761715,2.79332937055,2.93609321084e-05,3.10290421781e-05,289.1,257.9,"rn"
"749",3.18963980916,3.29335303898,1664,0,3293.35303898,0,3.86713236119,1.979178509,5.76115207343e-05,5.66396241612e-05,30.4,-1.2,"rn"
"755",9.26555963497,9.35373743935,3539,0,9353.73743935,0,3.52118881759,2.64304533466,3.23132127789e-05,3.25290659036e-05,157,79,"rn"
"758",10.0777419439,10.1650267159,3042,0,10165.0267159,0,6.035260607,3.34156039313,4.15698280757e-05,3.59435677174e-05,714.6,618.6,"rn"
"767",3.34921387155,3.35222441869,1315,31,3346.67334226,5.55107643294,4.20001453419,2.54499873936,3.71729022914e-06,2.32442605894e-05,92.2,18.6,"rn"
"778",1.36662697408,1.37639366048,760,160,1342.84299756,33.5506629216,3.65388108154,1.766898681,3.65132555895e-05,4.01718984342e-05,185.7,142.4,"rn"
"786",12.2386155743,12.5540520375,5001,672,12469.4257355,84.6263020142,4.28753440033,2.49338646981,6.26214619906e-05,6.10689988149e-05,264,51,"rn"
"816",3.3557045084,3.36103591103,1221,0,3361.03591103,0,4.00934607188,2.75269116383,1.94504610989e-05,1.31626607436e-05,902.9,866.3,"rn"
"825",14.7363753841,15.7468683648,5995,393,15689.5613096,57.3070552459,4.31452719589,2.6171078081,8.150715279e-05,8.16496573031e-05,1191.5,1009.9,"rn"
"841",2.72437155799,2.72937084961,867,78,2717.16330858,12.2075410373,4.39504006988,3.13398305488,1.29204109097e-05,1.43886394222e-05,119,109,"rn"
"845",8.49405303461,8.685501288,3578,70,8679.13945993,6.3618280767,3.55327093309,2.42569576857,5.0058552527e-05,5.05294702366e-05,1423,1275,"rn"
"846",8.03293939432,8.56335533019,2914,0,8552.29455007,11.0607801208,6.72362540364,2.93489861018,6.82191129672e-05,6.24926910758e-05,140,35,"rn"
"852",5.01005717027,5.06710597062,2060,0,5067.10597062,0,3.66096103081,2.45976017991,3.89436673812e-05,3.806543389e-05,612.6,560.9,"rn"
"878",7.3216737925,7.38717354533,2501,0,7387.17354533,0,4.672844456,2.95368794295,2.30958118037e-05,2.3450921861e-05,297,223,"rn"
"881",5.74446533751,6.45680967602,2224,0,6456.80967602,0,5.02729350214,2.9032417608,0.000122361257089,0.000121490854065,706,594,"rn"
